timestamp,symbol,strategy,action,price,quantity,order_type,tp_price,sl_price
2025-11-21 14:38:33.538541,IONQ,MA_Crossover_50_200,BUY,41.97,10,BRACKET,43.65,41.13
2025-11-21 14:38:36.421018,PLTR,MA_Crossover_50_200,BUY,156.59,10,BRACKET,162.85,153.46
2025-11-21 14:38:41.178048,RGTI,MA_Crossover_50_200,BUY,22.92,10,BRACKET,23.84,22.46
2025-11-21 14:38:48.303551,INTC,MA_Crossover_50_200,BUY,33.86,10,BRACKET,35.21,33.18
2025-11-21 14:38:51.209496,IWM,MA_Crossover_50_200,BUY,232.71,10,BRACKET,242.02,228.06
2025-11-21 14:38:54.175304,AMD,MA_Crossover_50_200,BUY,208.06,10,BRACKET,216.38,203.9
2025-11-21 14:38:57.958466,BITU,Bollinger_Bands_Reversion,BUY,26.37,10,BRACKET,27.42,25.84
2025-11-21 14:39:03.978912,FXI,MA_Crossover_50_200,BUY,38.67,10,BRACKET,40.22,37.9
2025-11-21 14:39:07.025506,AMDL,MA_Crossover_50_200,BUY,14.97,10,BRACKET,15.57,14.67
2025-11-21 14:39:09.860910,GOOGL,MA_Crossover_50_200,BUY,295.43,10,BRACKET,307.25,289.52
2025-11-21 14:39:12.566147,SLV,MA_Crossover_50_200,BUY,45.29,10,BRACKET,47.1,44.38
2025-11-21 14:39:17.450913,RGTZ,VWAP_Trend,BUY,MARKET,10,MARKET,,
2025-11-21 14:39:21.368295,VXX,VWAP_Trend,BUY,38.84,10,BRACKET,40.39,38.06
2025-11-21 14:39:23.970012,CONL,MA_Crossover_50_200,BUY,16.69,10,BRACKET,17.36,16.36
2025-11-21 14:39:26.962791,QBTS,MA_Crossover_50_200,BUY,20.39,10,BRACKET,21.21,19.98
2025-11-21 14:39:32.432852,PLTD,VWAP_Trend,BUY,7.73,10,BRACKET,8.04,7.58
2025-11-21 14:39:36.585903,TZA,VWAP_Trend,BUY,MARKET,10,MARKET,,
2025-11-21 14:39:38.589306,CIFR,MA_Crossover_50_200,BUY,14.5,10,BRACKET,15.08,14.21
2025-11-21 14:55:23.392230,SOXL,MA_Crossover_50_200,BUY,31.54,10,BRACKET,32.8,30.91
2025-11-21 15:01:49.603159,SLB,Bollinger_Bands_Reversion,BUY,35.95,10,BRACKET,37.39,35.23
2025-11-21 15:01:55.019390,MSFT,MA_Crossover_50_200,BUY,483.16,10,BRACKET,502.49,473.5
